course_id,holeNumber,greenLat,greenLng
14,1,45.206207448663854, -93.29112601705482
14,2,45.200842069843006, -93.29180026964308
14,3,45.202135843066685, -93.28949075905187
14,4,45.20559628379683, -93.29144261248202
14,5,45.200604587913766, -93.29318772441165
14,6,45.20407342558095, -93.29354104833672
14,7,45.20776963408324, -93.29266289702576
14,8,45.20592779874032, -93.29218143394539
14,9,45.202771145803986, -93.28937082712298
15,1,45.20664661084431, -93.28610507549791
15,2,45.20724983717675, -93.29128924195741
15,3,45.21088787537254, -93.29193357837968
15,4,45.21471914751758, -93.28865512054418
15,5,45.21198532417053, -93.29154961280882
15,6,45.20934257419836, -93.29117795431054
15,7,45.20733972958448, -93.28655695653693
15,8,45.20683242780212, -93.28393416262614
15,9,45.202901557337235, -93.28637156127658
16,1,45.20653155493763, -93.28522067475419
16,2,45.20763308896919, -93.29069016339659
16,3,45.20891624408078, -93.29151192715557
16,4,45.20831844719108, -93.28519050943757
16,5,45.20732175843584, -93.28178354147255
16,6,45.203285922735574, -93.28482676453743
16,7,45.20470558698698, -93.28274757655599
16,8,45.201965809598384, -93.28253623297938
16,9,45.20219923389466, -93.28632796132032
